age,depth,d13C,d18O
11.6585,1.21,-10.5672,-9.65727188
11.6838,1.257,-10.4188,-10.42827309
11.7091,1.304,-9.65062,-9.899432375
11.7343,1.351,-9.9914,-10.58053897
11.7858,1.447,-10.2344,-10.10285755
11.811,1.494,-10.5647,-10.00406954
11.8361,1.541,-10.5437,-9.505228825
11.8611,1.588,-10.8019,-10.30638812
11.8862,1.635,-9.91394,-9.56771786
11.9111,1.682,-10.0939,-10.05950155
11.936,1.729,-9.57652,-10.10128525
11.9608,1.776,-10.8129,-10.05306894
11.9855,1.823,-10.2396,-10.43485264
12.0101,1.87,-10.2947,-9.92663633
12.0346,1.917,-10.2977,-9.478420024
12.059,1.964,-10.3428,-9.960203718
12.0833,2.011,-10.4925,-9.691987412
12.1074,2.058,-9.61417,-9.263852183
12.1315,2.105,-9.31031,-9.035635877
12.1554,2.152,-9.79476,-9.257419571
12.1791,2.199,-9.18021,-9.569203265
12.2272,2.295,-9.31279,-9.931068036
12.2504,2.342,-9.19845,-10.56254676
12.2974,2.438,-8.52117,-10.07591684
12.3201,2.485,-8.36833,-9.59748152
12.3427,2.532,-8.41326,-9.92916656
12.365,2.579,-9.0857,-9.90253664
12.3871,2.626,-8.59519,-9.84530492
12.409,2.673,-9.15507,-9.4574714
12.4307,2.72,-8.27401,-9.14084148
12.4521,2.767,-9.28616,-9.25300796
12.4733,2.814,-9.85572,-9.36577624
12.4943,2.861,-9.21403,-9.46914632
12.5363,2.957,-8.61368,-9.55359964
12.5565,3.004,-8.63574,-9.54696972
12.5968,3.1,-9.62279,-9.71250628
12.6161,3.147,-8.89413,-9.76527456
12.6352,3.194,-8.37287,-9.8379645
12.6539,3.241,-7.57291,-9.740276
12.6723,3.288,-7.43089,-9.3425875
12.6953,3.348,-7.51668,-9.9843965
12.731,3.444,-7.85571,-9.8176125
12.748,3.491,-8.34723,-9.9304265
12.7647,3.538,-7.95399,-10.1118335
12.7809,3.585,-7.832,-9.392738
12.7968,3.632,-8.74828,-10.1950495
12.8127,3.679,-9.21077,-10.767361
12.8289,3.726,-8.44766,-10.5492705
12.8456,3.773,-9.87294,-10.3510795
12.8626,3.82,-9.25697,-10.662587
12.88,3.867,-8.76359,-10.203994
12.8976,3.914,-9.24948,-10.3315315
12.9154,3.961,-8.89309,-11.1635415
12.9335,4.008,-9.288,-10.82436062
12.9517,4.055,-9.10071,-10.21637415
12.9701,4.102,-9.34621,-10.13848355
12.9885,4.149,-9.62063,-10.10059295
13.0069,4.196,-9.56558,-10.09270236
13.0254,4.243,-9.4201,-10.24442823
13.0438,4.29,-9.42178,-9.28615411
13.0621,4.337,-9.94676,-10.55787999
13.0803,4.384,-10.161,-9.79950998
13.1071,4.4542,-8.94449,-9.62094821
13.1173,4.4812,-8.6333,-9.471619384
13.1274,4.5082,-9.30226,-9.682194676
13.1375,4.5352,-8.66523,-9.533153496
13.1474,4.5622,-8.59647,-9.414112316
13.1572,4.5892,-8.58296,-9.404975254
13.1669,4.6162,-8.40693,-9.185934074
13.1765,4.6432,-8.3089,-8.946797012
13.186,4.6702,-8.34558,-9.127755832
13.1953,4.6972,-8.63411,-9.278714652
13.2045,4.7242,-8.44329,-8.98957759
13.2135,4.7512,-8.34003,-8.95053641
13.2224,4.7782,-8.27979,-8.961399348
13.2396,4.8322,-8.743015485,-9.973125224
13.248,4.8592,-8.417416664,-9.493988162
13.2561,4.8862,-8.77170811,-9.7048511
13.2641,4.9132,-9.159798916,-9.865714038
13.2718,4.9402,-8.97610581,-9.796576976
13.2794,4.9672,-9.456082198,-10.2275358
13.2867,4.9942,-9.256894174,-9.598494616
13.2938,5.0212,-8.447789413,-9.559357554
13.3006,5.0482,-7.526985717,-9.650316374
13.3072,5.0752,-8.3104353,-9.851179312
13.3136,5.1022,-9.154869493,-10.34304
13.3197,5.1292,-9.019724641,-9.97475
13.3255,5.1562,-8.088373156,-9.83665
13.3311,5.1832,-8.171415617,-9.73855
13.3364,5.2102,-8.767084793,-9.76912
13.3414,5.2372,-9.573322565,-10.2695
13.3461,5.2642,-9.812566144,-9.75988
13.3507,5.2912,-7.530106402,-9.13026
13.3553,5.3182,-8.628972792,-9.72045
13.3599,5.3452,-7.961218653,-8.18083
13.3645,5.3722,-7.423619047,-9.35121
13.3691,5.3992,-9.19697,-9.89159
13.3737,5.4262,-10.20134704,-10.00197
13.3782,5.4532,-10.64860339,-10.37235
13.3828,5.4802,-10.65390225,-10.36273
13.3873,5.5072,-10.65214196,-10.81311
13.3918,5.5342,-10.52805523,-10.51349
13.4008,5.5882,-10.30686391,-10.09425
13.4098,5.6422,-9.656783265,-10.15501
13.4143,5.6692,-9.34009,-10.07539
13.4187,5.6962,-9.275249557,-9.58577
13.4232,5.7232,-9.344873753,-9.82615
13.4276,5.7502,-9.904987502,-10.09653
13.4321,5.7772,-9.969047376,-10.04691
13.4365,5.8042,-9.660210445,-10.37729
13.4409,5.8312,-9.624442979,-9.54767
13.4497,5.8852,-9.59945365,-9.72843
13.4584,5.9392,-9.758738688,-9.99919
13.4628,5.9662,-9.845694145,-9.88957
13.4672,5.9932,-9.792057962,-9.85976
13.4715,6.0202,-9.782550249,-10.04014
13.4759,6.0472,-9.732369431,-9.96052
13.4802,6.0742,-9.940279492,-9.54109
13.4845,6.1012,-9.816895,-9.48147
13.4889,6.1282,-10.25253576,-9.44185
13.4932,6.1552,-10.29698861,-9.45204
13.4975,6.1822,-9.688211581,-9.59242
13.5018,6.2092,-9.937121887,-9.34261
13.5061,6.2362,-9.993977948,-9.62299
13.5103,6.2632,-9.809054271,-9.49318
13.5146,6.2902,-10.01164766,-9.45375
13.5232,6.3442,-10.23755033,-9.68451
13.5274,6.3712,-10.12664318,-9.79489
13.5317,6.3982,-9.974219223,-9.68527
13.5359,6.4252,-10.00783356,-9.63546
13.5402,6.4522,-9.974206728,-9.82584
13.5444,6.4792,-9.656952496,-9.92622
13.5487,6.5062,-9.563244623,-10.0066
13.5529,6.5332,-9.588288463,-10.12698
13.5571,6.5602,-9.295446542,-9.96736
13.5613,6.5872,-9.150903884,-9.73774
13.5656,6.6142,-8.867286818,-8.42812
13.5698,6.6412,-10.24465549,-9.8185
13.574,6.6682,-10.49536752,-9.46888
13.5782,6.6952,-10.75415776,-10.21926
13.5824,6.7222,-10.51780322,-10.39964
